사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Dec.24,1호선,150,서울역,1496624 ,1403500 ,231782 ,217616 
Dec.24,1호선,151,시청,689635 ,684140 ,148888 ,143883 
Dec.24,1호선,152,종각,1010431 ,977469 ,179003 ,167898 
Dec.24,1호선,153,종로3가,497844 ,452394 ,314812 ,287056 
Dec.24,1호선,154,종로5가,458015 ,446780 ,250472 ,244497 
Dec.24,1호선,155,동대문,252373 ,246241 ,133914 ,133772 
Dec.24,1호선,156,신설동,302848 ,289710 ,126462 ,121883 
Dec.24,1호선,157,제기동,240025 ,229286 ,271548 ,291781 
Dec.24,1호선,158,청량리(서울시립대입구),405925 ,403185 ,291292 ,289536 
Dec.24,1호선,159,동묘앞,155654 ,160983 ,157569 ,158444 
Dec.24,2호선,201,시청,728396 ,667467 ,77391 ,67462 
Dec.24,2호선,202,을지로입구,1460314 ,1466229 ,127287 ,117047 
Dec.24,2호선,203,을지로3가,674616 ,664419 ,81296 ,79903 
Dec.24,2호선,204,을지로4가,338976 ,340995 ,79832 ,80225 
Dec.24,2호선,205,동대문역사문화공원(DDP),414426 ,485709 ,62597 ,67905 
Dec.24,2호선,206,신당,369514 ,394468 ,96571 ,98567 
Dec.24,2호선,207,상왕십리,362740 ,352715 ,73500 ,74874 
Dec.24,2호선,208,왕십리(성동구청),433232 ,399709 ,57419 ,52321 
Dec.24,2호선,209,한양대,306882 ,332091 ,14737 ,15907 
Dec.24,2호선,210,뚝섬,688604 ,719535 ,67614 ,67769 
Dec.24,2호선,211,성수,1375880 ,1488651 ,105498 ,106041 
Dec.24,2호선,212,건대입구,1066688 ,1127077 ,102048 ,106227 
Dec.24,2호선,213,구의(광진구청),648139 ,627702 ,117634 ,117942 
Dec.24,2호선,214,강변(동서울터미널),766156 ,712636 ,121142 ,115929 
Dec.24,2호선,215,잠실나루,338812 ,325962 ,92899 ,92064 
Dec.24,2호선,216,잠실(송파구청),2442975 ,2420022 ,241917 ,233981 
Dec.24,2호선,217,잠실새내,606073 ,598402 ,122947 ,121380 
Dec.24,2호선,218,종합운동장,200621 ,224194 ,50200 ,52076 
Dec.24,2호선,219,삼성(무역센터),1549003 ,1548465 ,138582 ,127448 
Dec.24,2호선,220,선릉,1381021 ,1224475 ,245404 ,215631 
Dec.24,2호선,221,역삼,1239880 ,1403406 ,156707 ,160139 
Dec.24,2호선,222,강남,2217530 ,2200980 ,171790 ,151258 
Dec.24,2호선,223,교대(법원.검찰청),735182 ,889228 ,166582 ,199787 
Dec.24,2호선,224,서초,570340 ,554973 ,105074 ,106167 
Dec.24,2호선,225,방배,419176 ,434386 ,84721 ,83951 
Dec.24,2호선,226,사당,1128699 ,1211574 ,258251 ,241295 
Dec.24,2호선,227,낙성대(강감찬),711502 ,681838 ,117902 ,119254 
Dec.24,2호선,228,서울대입구(관악구청),1210564 ,1164985 ,190295 ,179676 
Dec.24,2호선,229,봉천,570567 ,520849 ,159216 ,158585 
Dec.24,2호선,230,신림,1477335 ,1436955 ,214369 ,214640 
Dec.24,2호선,231,신대방,625399 ,590520 ,139464 ,139523 
Dec.24,2호선,232,구로디지털단지,1469799 ,1448852 ,216429 ,216126 
Dec.24,2호선,233,대림(구로구청),596223 ,605769 ,142429 ,146435 
Dec.24,2호선,234,신도림,1356483 ,1324426 ,255030 ,240945 
Dec.24,2호선,235,문래,594379 ,618513 ,95436 ,95530 
Dec.24,2호선,236,영등포구청,553787 ,575488 ,113693 ,113158 
Dec.24,2호선,237,당산,506562 ,589365 ,67078 ,72272 
Dec.24,2호선,238,합정,942019 ,1041933 ,73736 ,75895 
Dec.24,2호선,239,홍대입구,2282202 ,2483706 ,109227 ,106825 
Dec.24,2호선,240,신촌,1071180 ,1091174 ,137085 ,134801 
Dec.24,2호선,241,이대,446233 ,490606 ,52036 ,55860 
Dec.24,2호선,242,아현,262311 ,243591 ,68736 ,67950 
Dec.24,2호선,243,충정로(경기대입구),252685 ,271336 ,48633 ,49527 
Dec.24,2호선,244,용답,71832 ,70649 ,18415 ,18273 
Dec.24,2호선,245,신답,38283 ,43186 ,9613 ,10182 
Dec.24,2호선,246,신설동,80254 ,77457 ,34854 ,36656 
Dec.24,2호선,247,도림천,29757 ,31361 ,8654 ,9849 
Dec.24,2호선,248,양천구청,146664 ,155397 ,56494 ,57299 
Dec.24,2호선,249,신정네거리,227933 ,234152 ,78049 ,80079 
Dec.24,2호선,250,용두(동대문구청),51711 ,52072 ,25271 ,26635 
Dec.24,3호선,309,지축,186363 ,184646 ,39357 ,37841 
