사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec.24,1호선,150,서울역,622 ,26 ,7885 ,7893 ,13071 ,49941 ,42688 ,107177 ,74139 ,220506 ,69720 ,152719 ,68140 ,82051 ,90942 ,82988 ,104381 ,93270 ,102117 ,91692 ,91404 ,83300 ,117339 ,92566 ,133555 ,96419 ,192914 ,103559 ,221917 ,109214 ,120213 ,77861 ,87973 ,57396 ,94528 ,53425 ,62170 ,36925 ,29361 ,17165 ,3296 ,4567 ,30 ,422 ,1 ,34 ,0 ,0 
Dec.24,1호선,151,시청,113 ,3 ,1896 ,4707 ,3394 ,23670 ,6858 ,69069 ,9215 ,185375 ,12002 ,91099 ,15251 ,50159 ,22574 ,49063 ,26945 ,47658 ,36394 ,53962 ,46516 ,49264 ,61426 ,40623 ,78120 ,38257 ,110880 ,39768 ,162831 ,33798 ,72569 ,17686 ,63480 ,11164 ,57510 ,9766 ,36609 ,7153 ,12131 ,4610 ,1727 ,1093 ,82 ,75 ,0 ,1 ,0 ,0 
Dec.24,1호선,152,종각,160 ,10 ,4229 ,5618 ,4107 ,32150 ,6343 ,106431 ,9911 ,246962 ,12663 ,146288 ,18854 ,64893 ,30118 ,63772 ,37121 ,60175 ,46050 ,58382 ,60305 ,52515 ,76501 ,48507 ,96296 ,55531 ,158956 ,65053 ,211969 ,64476 ,105060 ,30414 ,97134 ,15775 ,101656 ,12590 ,77356 ,9567 ,31908 ,4940 ,2540 ,1274 ,197 ,44 ,0 ,0 ,0 ,0 
Dec.24,1호선,153,종로3가,166 ,9 ,3798 ,2858 ,3635 ,11348 ,5410 ,25079 ,8462 ,60717 ,12965 ,60326 ,20043 ,54512 ,30736 ,70574 ,44629 ,73120 ,49778 ,64081 ,62756 ,56359 ,73027 ,49927 ,78733 ,49843 ,89834 ,49448 ,94012 ,45450 ,60725 ,23967 ,54015 ,13235 ,54378 ,10753 ,41759 ,8651 ,18836 ,6701 ,4718 ,2375 ,241 ,117 ,0 ,0 ,0 ,0 
Dec.24,1호선,154,종로5가,46 ,5 ,1776 ,3417 ,2924 ,15615 ,5384 ,38612 ,9488 ,89136 ,13131 ,62712 ,22214 ,55776 ,34432 ,62416 ,43781 ,57907 ,53508 ,55561 ,62190 ,50396 ,67581 ,44271 ,72116 ,41358 ,90097 ,36717 ,89346 ,30905 ,47671 ,17567 ,35933 ,10092 ,31591 ,8016 ,18928 ,6139 ,5868 ,3665 ,473 ,965 ,9 ,29 ,0 ,0 ,0 ,0 
Dec.24,1호선,155,동대문,614 ,22 ,11250 ,1989 ,9357 ,6086 ,15194 ,10088 ,20810 ,18363 ,20994 ,20861 ,18806 ,23647 ,20398 ,29668 ,25017 ,29942 ,26965 ,28654 ,30110 ,27942 ,32092 ,26672 ,32516 ,25640 ,29735 ,24907 ,24990 ,24374 ,18678 ,22174 ,16433 ,15405 ,14521 ,14875 ,11117 ,15227 ,5548 ,10112 ,1083 ,3040 ,59 ,325 ,0 ,0 ,0 ,0 
Dec.24,1호선,156,신설동,460 ,25 ,8611 ,2233 ,9324 ,8137 ,20295 ,23727 ,31233 ,53007 ,21410 ,31575 ,20770 ,22522 ,22816 ,20579 ,24688 ,20265 ,26858 ,21430 ,26496 ,20553 ,27852 ,22830 ,32537 ,24003 ,43394 ,25914 ,51774 ,31686 ,19916 ,22856 ,15141 ,16680 ,12329 ,16630 ,8897 ,14179 ,4023 ,9815 ,482 ,2881 ,4 ,66 ,0 ,0 ,0 ,0 
Dec.24,1호선,157,제기동,422 ,3 ,5053 ,2404 ,8487 ,9230 ,20914 ,19642 ,30502 ,35906 ,22180 ,29511 ,24079 ,35729 ,31364 ,48089 ,38238 ,50785 ,42964 ,51720 ,49270 ,48280 ,53095 ,40356 ,51270 ,34019 ,45490 ,27298 ,36913 ,26704 ,19921 ,17785 ,13750 ,12447 ,9378 ,12012 ,5670 ,10651 ,2369 ,6691 ,224 ,1777 ,20 ,28 ,0 ,0 ,0 ,0 
Dec.24,1호선,158,청량리(서울시립대입구),1090 ,36 ,10179 ,2878 ,16774 ,9044 ,46525 ,16312 ,55291 ,37109 ,35927 ,35333 ,33071 ,39141 ,41319 ,49264 ,46780 ,52594 ,51109 ,52157 ,56044 ,54973 ,60804 ,52447 ,60722 ,50870 ,54989 ,51313 ,45086 ,60443 ,26524 ,38273 ,21757 ,25668 ,17441 ,25434 ,10901 ,21530 ,4512 ,13433 ,366 ,4277 ,6 ,192 ,0 ,0 ,0 ,0 
