count,date,title,description,org_link,link
1,2025-02-20 14:54:00,"KT, 창업도약패키지로 협업할 AICT 스타트업 모집…최대 2억 원 지원","공모 분야는 <b>인공지능</b>(AI)·클라우드, 미디어·콘텐츠, ICT 융합 서비스, 기타 총 4개다. 참가하는 기업은 KT와 협력 가능한 기술·서비스·콘텐츠를 보유해야 한다. 선발된 스타트업은 기업당 최대 2억 원의 사업화... ",https://weekly.cnbnews.com/news/article.html?no=169788,https://weekly.cnbnews.com/news/article.html?no=169788
2,2025-02-20 14:54:00,&quot;중대재해 제로&quot;…건설사별 안전 강화 대책은,"포스코이앤씨는 스마트 세이프티(Smart Safety) 기술 개발과 <b>인공지능</b>(AI)를 접목한 다양한 기술을 현장에 도입해 철저한 현장 안전관리 체계를 구축해 나갈 방침이다. 포스코이앤씨의 Smart Safety 솔루션은 작업장 안전, 설비... ",http://www.m-i.kr/news/articleView.html?idxno=1209848,http://www.m-i.kr/news/articleView.html?idxno=1209848
3,2025-02-20 14:53:00,"경과원, 경기스타트업캠퍼스 입주기업 모집… AI 등 신산업 분야 지원 ...","모집 분야는 정보기술(IT), 바이오기술(BT), 콘텐츠기술(CT), 나노기술(NT) 등 첨단기술 분야와 <b>인공지능</b>(AI), 빅데이터, 블록체인 등 신산업 분야 예비창업자 및 창업기업이다. 대상은 공고일 기준 도내 예비 창업자 또는... ",https://news.tf.co.kr/read/national/2180919.htm,https://n.news.naver.com/mnews/article/629/0000366464?sid=102
4,2025-02-20 14:53:00,효정 &quot;운명 같았던 '천 개의 파랑'&quot;…진호 &quot;무뚝뚝한 성격도 바뀌어&quot; [인...,재연을 준비하는 동안 <b>인공지능</b>(AI)의 발전 속도를 체감했다는 이들에게 기술의 진보가 직업적으로 불안함을 주진 않냐는 질문도 나왔다. 이에 진호는 &quot;변화를 가까이서 느끼긴 하지만 무대 위에서 살아있는 감정을... ,https://www.hankyung.com/article/202502207977H,https://n.news.naver.com/mnews/article/015/0005096827?sid=103
5,2025-02-20 14:53:00,"‘이제 영상도 이해한다’...네이버, 저비용 고성능 AI 모델 선보여",자사 <b>인공지능</b>(AI) 모델 ‘하이퍼클로바X’를 기존 모델 대비 40% 수준으로 경량화하면서 성능은 개선했다고 밝혔다. 이미지를 인식하던 멀티 모달리티 능력도 한층 고도화하면서 영상 이해 기능도 새롭게 탑재했다.... ,https://www.mk.co.kr/article/11245874,https://n.news.naver.com/mnews/article/009/0005447020?sid=105
6,2025-02-20 14:53:00,"데이원컴퍼니, 업스테이지와 '실무형 AI인재' 교육 진행",성인 교육 콘텐츠 회사 데이원컴퍼니의 사내독립기업(CIC) 패스트캠퍼스는 <b>인공지능</b>(AI) 전문기업 업스테이지와 함께 커널 아카데미 AI 부트캠프를 열고 AI 기업에 취업할 수 있는 인재를 양성한다고 20일 밝혔다.... ,https://www.newsis.com/view/NISX20250220_0003072734,https://n.news.naver.com/mnews/article/003/0013079073?sid=101
7,2025-02-20 14:53:00,광주시가 키우는 'G-유니콘 기업' 5개사 눈에 띄는 성장,재난안전과 에너지효율화 <b>인공지능</b>(AI) 솔루션 기업인 '에니트'는 지난해 38억 원의 매출을 달성했다. 미국 아칸소주 리튬공장 화재 감지 시스템 남품 제안을 받아 미국에 현지법인(ENITT-USA) 설립을 확정하는 등 북미... ,https://www.news1.kr/local/gwangju-jeonnam/5696292,https://n.news.naver.com/mnews/article/421/0008088261?sid=102
8,2025-02-20 14:52:00,"우진, 배당금 확대 및 자사주 매입·소각 결정","한편 우진은 전력 소모가 많은 <b>인공지능</b>(AI) 산업 확장으로 더욱 주목받고 있는 SMR 사업에 대한 투자와 연구개발을 확대하고 있다. 또한, 관련기업과의 적극적인 협력 속에 SMR용 핵심 기자재 개발을 진행 중이며 정부... ",https://www.newspim.com/news/view/20250220000650,https://www.newspim.com/news/view/20250220000650
9,2025-02-20 14:52:00,"네이버 D2SF, AI 자율주행 '웨어러블에이아이' 신규 투자",네이버(035420)의 스타트업 육성 조직 D2SF(D2 Startup Factory)가 <b>인공지능</b>(AI) 기반 자율주행 스타트업 '웨어러블에이아이'에 신규 투자했다. 네이버 D2SF는 이번 투자를 쿼드벤처스가 이끌고 네이버 D2SF와 포스텍홀딩스가... ,https://www.news1.kr/it-science/general-it/5696303,https://n.news.naver.com/mnews/article/421/0008088258?sid=105
10,2025-02-20 14:52:00,KT &quot;KT와 협업할 스타트업 찾아요&quot;,▲<b>인공지능</b>(AI)/클라우드 ▲미디어/콘텐츠 ▲정보통신기술(ICT) 융합 서비스 ▲기타 4개 분야를 선정한다. KT는 선정 기업에게 최대 2억원의 사업화 자금을 지원한다. KT인베스트먼트 등을 통한 투자 유치 기회도... ,https://www.techm.kr/news/articleView.html?idxno=135958,https://www.techm.kr/news/articleView.html?idxno=135958
